node21_img_id,original_image_name,found_path
n0239,00010496_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0239.mha
n0342,00006281_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0342.mha
n0996,00001404_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0996.mha
n0418,00029196_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0418.mha
n0538,00014646_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0538.mha
n1026,00004911_010,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1026.mha
n0986,00007411_005,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0986.mha
n0993,00029649_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0993.mha
n0204,00019765_011,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0204.mha
n0373,00020275_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0373.mha
n0497,00016191_014,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0497.mha
n0128,00019731_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0128.mha
n1101,00002018_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1101.mha
n0783,00023075_012,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0783.mha
n0978,00020236_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0978.mha
n0919,00014052_004,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0919.mha
n0535,00007886_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0535.mha
n0704,00002010_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0704.mha
n0736,00014219_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0736.mha
n0690,00002509_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0690.mha
n0989,00026586_004,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0989.mha
n0990,00000545_009,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0990.mha
n0474,00006425_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0474.mha
n0034,00005477_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0034.mha
n0886,00015450_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0886.mha
n0436,00029688_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0436.mha
n0602,00003273_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0602.mha
n0352,00008188_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0352.mha
n0838,00027480_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0838.mha
n0471,00012485_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0471.mha
n0604,00003948_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0604.mha
n0766,00014306_004,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0766.mha
n0076,00026569_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0076.mha
n0099,00001738_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0099.mha
n0769,00028923_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0769.mha
n0726,00026911_005,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0726.mha
n1095,00011885_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1095.mha
n0992,00012156_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0992.mha
n1094,00005140_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1094.mha
n0370,00013061_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0370.mha
n1012,00006497_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1012.mha
n0457,00025446_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0457.mha
n0980,00026833_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0980.mha
n0725,00000569_005,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0725.mha
n0631,00029748_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0631.mha
n0327,00005977_011,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0327.mha
n0282,00020539_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0282.mha
n0288,00015793_004,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0288.mha
n1132,00005107_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1132.mha
n0379,00001089_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0379.mha
n0139,00010801_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0139.mha
n0901,00005664_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0901.mha
n0798,00020631_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0798.mha
n0200,00005582_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0200.mha
n0460,00007227_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0460.mha
n0309,00018296_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0309.mha
n1080,00001781_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1080.mha
n0505,00027574_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0505.mha
n0637,00011812_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0637.mha
n0353,00025150_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0353.mha
n0129,00012563_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0129.mha
n1010,00008236_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1010.mha
n0384,00013244_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0384.mha
n0493,00001722_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0493.mha
n0881,00007557_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0881.mha
n0873,00030697_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0873.mha
n0123,00019805_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0123.mha
n0550,00008204_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0550.mha
n0271,00007017_009,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0271.mha
n0969,00019616_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0969.mha
n0731,00001154_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0731.mha
n0447,00003528_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0447.mha
n0194,00007605_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0194.mha
n0241,00019473_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0241.mha
n0683,00008785_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0683.mha
n0199,00013422_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0199.mha
n0764,00011548_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0764.mha
n0629,00021940_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0629.mha
n0747,00003423_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0747.mha
n0933,00028765_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0933.mha
n0743,00004547_014,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0743.mha
n0047,00020046_009,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0047.mha
n0176,00003029_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0176.mha
n0097,00020070_007,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0097.mha
n0267,00012704_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0267.mha
n0233,00030280_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0233.mha
n0514,00017324_008,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0514.mha
n0104,00010162_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0104.mha
n0999,00004734_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0999.mha
n0944,00019241_004,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0944.mha
n0302,00008503_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0302.mha
n0565,00024281_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0565.mha
n0627,00001627_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0627.mha
n0655,00019999_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0655.mha
n0336,00014006_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0336.mha
n1030,00017306_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1030.mha
n0699,00017698_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0699.mha
n0951,00011235_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0951.mha
n0008,00000093_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0008.mha
n0412,00028240_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0412.mha
n0013,00026756_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0013.mha
n1058,00011091_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1058.mha
